46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
4755299,27,2011-08-31,Superhost,13,Isolotto Legnaia,4,2,Entire home,8,271,70,4.89,4.87,4.87,4.96,4.96,4.8,4.86,0.85,Firenze,Early Winter,4,private,"43.76729, 11.23908",2024-12-15
4756096,0,2012-10-09,Superhost,7,Centro Storico,1,1,Entire home,2,245,10,4.9,4.9,5,5,5,4.9,4.9,0.09,Firenze,Early Winter,1,private,"43.7736, 11.26676",2024-12-15
4766001,34,2012-10-07,Superhost,5,Centro Storico,3,2,Entire home,6,132,316,4.59,4.75,4.66,4.78,4.74,4.92,4.68,2.89,Firenze,Early Winter,1,private,"43.77669, 11.25214",2024-12-15
4240452,15,2014-10-01,Host,1,Centro Storico,2,1,Entire home,4,127,88,4.76,4.89,4.8,4.94,4.89,4.94,4.79,0.84,Firenze,Early Winter,1,private,"43.77026, 11.25854",2024-12-15
4770753,24,2013-01-06,Superhost,14,Centro Storico,2,1,Entire home,4,176,139,4.86,4.93,4.96,4.98,4.99,4.96,4.83,1.31,Firenze,Early Winter,2,private,"43.77199, 11.25037",2024-12-15
4244340,0,2013-02-10,Host,5,Centro Storico,6,3,Entire home,,150,117,4.75,4.84,4.8,4.88,4.87,4.84,4.82,1.05,Firenze,Early Winter,2,private,"43.77998, 11.25044",2024-12-15
4244403,0,2013-02-10,Host,5,Centro Storico,4,2,Entire home,7,150,179,4.61,4.78,4.61,4.87,4.89,4.92,4.73,1.91,Firenze,Early Winter,2,private,"43.77266, 11.24706",2024-12-15
4770994,97,2014-12-08,Host,3,Centro Storico,2,1,Entire home,4,48,818,4.68,4.81,4.73,4.86,4.78,4.78,4.74,7.71,Firenze,Early Winter,1,private,"43.76882, 11.2416",2024-12-15
4248639,23,2013-07-03,Superhost,13,Centro Storico,3,2,Entire home,6,238,43,4.86,4.84,4.84,4.93,4.91,4.91,4.56,0.39,Firenze,Early Winter,2,private,"43.77352, 11.253",2024-12-15
4265621,20,2011-04-06,Host,44,Centro Storico,1,1,Entire home,2,145,281,4.74,4.82,4.75,4.86,4.87,4.96,4.72,2.53,Firenze,Early Winter,1,private,"43.76611, 11.25445",2024-12-15
