46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
445904,40,2012-04-24,Superhost,1,Centro Storico,4,,Entire home,4,90,305,4.87,4.88,4.9,4.95,4.97,4.93,4.86,2.18,Firenze,Early Winter,1,private,"43.77032, 11.26547",2024-12-15
450734,34,2011-08-31,Superhost,13,Centro Storico,1,1,Private room,2,67,508,4.72,4.81,4.83,4.88,4.89,4.59,4.69,3.59,Firenze,Early Winter,1,private,"43.7695, 11.24082",2024-12-15
552838,2,2012-06-22,Host,1,Isolotto Legnaia,1,1,Entire home,1,65,57,4.76,4.84,4.75,4.98,4.98,4.58,4.7,0.42,Firenze,Early Winter,1,private,"43.77412, 11.22964",2024-12-15
456996,0,2012-05-02,Superhost,4,Campo di Marte,1,1,Private room,2,99,1,5,5,5,5,5,5,5,0.07,Firenze,Summer,1,private,"43.77961, 11.27975",2024-12-15
457154,29,2011-08-31,Superhost,13,Centro Storico,1,1,Private room,2,67,446,4.7,4.75,4.82,4.84,4.82,4.58,4.67,3.17,Firenze,Early Winter,1,private,"43.76936, 11.24082",2024-12-15
463877,0,2012-05-02,Superhost,4,Campo di Marte,2,1,Private room,4,124,1,5,5,5,5,5,4,5,0.07,Firenze,Early Winter,1,private,"43.77954, 11.27986",2024-12-15
463942,1,2012-05-02,Superhost,4,Campo di Marte,1,1,Private room,2,80,10,4.7,4.5,4.8,4.8,4.8,4.2,4.8,0.09,Firenze,Early Winter,1,private,"43.78144, 11.28003",2024-12-15
463966,7,2012-05-02,Superhost,4,Campo di Marte,5,3,Entire home,8,220,35,4.97,4.91,4.97,5,4.97,4.83,4.91,0.29,Firenze,Early Winter,3,private,"43.77976, 11.2801",2024-12-15
464111,22,2012-05-04,Host,1,Centro Storico,1,1,Entire home,2,76,167,4.4,4.65,4.63,4.8,4.8,4.79,4.46,1.19,Firenze,Early Winter,1,private,"43.77179718017578, 11.263771057128906",2024-12-15
556164,0,2012-06-25,Host,7,Gavinana Galluzzo,3,2,Hotel room,3,252,1,5,5,5,5,5,4,5,0.01,Firenze,Early Winter,1,private,"43.74434, 11.21535",2024-12-15
469515,19,2012-05-09,Host,25,Centro Storico,3,2,Entire home,7,120,245,4.69,4.74,4.69,4.89,4.89,4.85,4.66,1.74,Firenze,Early Winter,2,private,"43.77023, 11.26429",2024-12-15
471267,17,2010-03-21,Host,3,Centro Storico,1,1,Entire home,4,92,126,4.81,4.84,4.87,4.9,4.94,4.83,4.73,0.96,Firenze,Early Winter,1,private,"43.78066, 11.25774",2024-12-15
559019,6,2016-08-07,Host,2,Centro Storico,3,2,Entire home,5,110,38,4.73,4.79,4.76,4.82,4.84,4.89,4.61,0.28,Firenze,Early Winter,1,private,"43.76601, 11.24161",2024-12-15
472854,8,2011-05-23,Host,3,Centro Storico,5,3,Entire home,6,315,180,4.62,4.73,4.61,4.92,4.89,4.85,4.69,1.32,Firenze,Early Winter,2,private,"43.76797, 11.2673",2024-12-15
475973,49,2012-05-13,Superhost,6,Rifredi,5,3,Entire home,7,77,195,4.85,4.9,4.88,4.93,4.93,4.46,4.83,1.39,Firenze,Early Winter,1,private,"43.80501, 11.23859",2024-12-15
479657,1,2012-05-02,Host,5,Centro Storico,2,1,Entire home,4,300,20,4.85,4.85,4.85,4.9,4.95,4.95,4.75,0.14,Firenze,Early Winter,1,private,"43.77426, 11.25699",2024-12-15
485541,52,2012-05-18,Superhost,5,Centro Storico,2,1,Entire home,3,59,385,4.69,4.79,4.76,4.82,4.86,4.58,4.71,2.74,Firenze,Early Winter,1,private,"43.78005, 11.23944",2024-12-15
488425,0,2012-05-20,Host,1,Centro Storico,3,2,Entire home,6,100,13,4.54,4.62,4.69,4.69,4.75,4,4.38,0.09,Firenze,Early Winter,3,private,"43.78608322143555, 11.226951599121094",2024-12-15
574603,62,2012-07-04,Superhost,1,Centro Storico,2,1,Entire home,5,75,574,4.91,4.94,4.88,4.96,4.95,4.94,4.91,4.12,Firenze,Early Winter,1,private,"43.76781, 11.24412",2024-12-15
491105,6,2012-05-21,Superhost,7,Campo di Marte,2,1,Private room,2,79,26,4.85,4.88,4.96,4.88,4.96,4.77,4.85,0.39,Firenze,Early Winter,1,shared,"43.79273, 11.27445",2024-12-15
491135,81,2012-05-21,Superhost,2,Centro Storico,1,,Private room,2,78,511,4.9,4.9,4.9,4.92,4.92,4.97,4.88,3.65,Firenze,Early Winter,1,private,"43.771820068359375, 11.259679794311523",2024-12-15
494454,0,2011-01-30,Host,2,Centro Storico,1,1,Entire home,2,75,1,5,5,5,5,5,5,5,0.01,Firenze,Early Winter,1,private,"43.7656, 11.24738",2024-12-15
497538,38,2012-05-24,Host,1,Centro Storico,1,1,Entire home,2,85,110,4.7,4.72,4.76,4.8,4.88,4.94,4.6,0.79,Firenze,Early Winter,1,private,"43.7684, 11.24701",2024-12-15
500709,29,2012-05-26,Superhost,2,Centro Storico,2,1,Entire home,4,93,110,4.74,4.88,4.78,4.93,4.95,4.5,4.73,0.79,Firenze,Summer,1,private,"43.78455, 11.23301",2024-12-15
501537,8,2011-12-19,Superhost,3,Centro Storico,4,2,Entire home,6,128,43,5,5,4.95,5,5,4.88,4.95,0.34,Firenze,Early Winter,1,private,"43.77398, 11.2451",2024-12-15
577350,55,2012-07-05,Superhost,1,Centro Storico,1,1,Private room,1,46,571,4.89,4.95,4.89,4.95,4.93,4.93,4.89,4.16,Firenze,Early Winter,1,private,"43.77523, 11.25625",2024-12-15
503147,29,2011-08-23,Host,5,Centro Storico,1,1,Hotel room,1,41,54,4.74,4.8,4.89,4.89,4.93,4.69,4.72,0.44,Firenze,Early Winter,1,shared,"43.77937, 11.24602",2024-12-15
579838,5,2012-07-06,Host,10,Centro Storico,2,1,Entire home,4,109,384,4.69,4.73,4.81,4.83,4.87,4.78,4.73,2.76,Firenze,Early Winter,1,private,"43.7704, 11.26296",2024-12-15
584756,6,2012-07-01,Host,1,Centro Storico,1,1,Entire home,2,200,140,4.89,4.92,4.96,4.97,4.99,4.87,4.87,1.01,Firenze,Early Winter,1,private,"43.76356, 11.24366",2024-12-15
504372,10,2012-05-15,Host,4,Centro Storico,1,1,Entire home,4,150,55,4.58,4.52,4.43,4.64,4.55,4.82,4.51,0.41,Firenze,Early Winter,1,private,"43.76385, 11.23997",2024-12-15
585780,15,2012-07-10,Superhost,2,Centro Storico,1,1,Entire home,1,90,213,4.83,4.89,4.82,4.91,4.91,4.91,4.82,1.53,Firenze,Early Winter,1,private,"43.76659, 11.24675",2024-12-15
505141,29,2012-01-24,Superhost,33,Centro Storico,2,1,Entire home,4,100,463,4.75,4.86,4.78,4.85,4.88,4.89,4.78,3.31,Firenze,Early Winter,1,private,"43.76619, 11.24702",2024-12-15
587379,2,2012-07-10,Superhost,2,Campo di Marte,1,1,Entire home,2,151,195,4.61,4.61,4.67,4.83,4.89,4.43,4.65,1.54,Firenze,Early Winter,1,private,"43.77758, 11.28696",2024-12-15
521618,0,2012-05-21,Superhost,11,Centro Storico,3,2,Entire home,3,100,106,4.72,4.77,4.91,4.89,4.89,4.89,4.78,0.79,Firenze,Early Winter,1,private,"43.76578, 11.24858",2024-12-15
523095,3,2012-05-15,Host,34,Centro Storico,1,1,Entire home,1,105,8,4.63,4.63,4.88,4.75,4.75,4.75,4.38,0.1,Firenze,Early Winter,1,private,"43.75865, 11.2429",2024-12-15
524676,34,2012-06-08,Superhost,3,Centro Storico,1,1,Entire home,2,80,369,4.8,4.77,4.8,4.93,4.95,4.95,4.72,2.64,Firenze,Early Winter,1,private,"43.7678, 11.25149",2024-12-15
526143,13,2012-06-09,Superhost,1,Centro Storico,1,1,Entire home,2,57,72,4.88,4.82,4.51,4.96,4.92,4.85,4.68,0.52,Firenze,Early Winter,1,private,"43.77441, 11.24667",2024-12-15
588021,53,2012-07-11,Superhost,1,Centro Storico,1,1,Private room,2,109,667,4.83,4.88,4.83,4.9,4.92,4.99,4.81,4.87,Firenze,Early Winter,1,private,"43.77168, 11.25272",2024-12-15
526412,0,2012-06-09,Host,1,Gavinana Galluzzo,1,1,Private room,1,30,26,4.9,4.96,4.84,4.8,4.96,4.8,4.88,0.19,Firenze,Early Winter,1,shared,"43.76285, 11.2785",2024-12-15
591218,12,2012-07-12,Host,1,Isolotto Legnaia,1,1,Entire home,2,48,42,4.42,4.72,4.3,4.88,4.98,4.49,4.37,0.31,Firenze,Early Winter,1,private,"43.77607, 11.21127",2024-12-15
527603,15,2012-06-08,Superhost,2,Centro Storico,1,1,Entire home,3,99,81,4.84,4.93,4.79,4.89,4.9,4.99,4.75,0.58,Firenze,Early Winter,1,private,"43.77079, 11.25723",2024-12-15
610985,28,2012-07-23,Superhost,3,Centro Storico,3,2,Entire home,6,113,216,4.8,4.83,4.86,4.87,4.87,4.84,4.75,1.58,Firenze,Early Winter,2,private,"43.77911, 11.26376",2024-12-15
611294,70,2012-07-23,Superhost,19,Centro Storico,8,3,Entire home,8,188,291,4.73,4.78,4.75,4.88,4.91,4.85,4.72,2.11,Firenze,Early Winter,2,private,"43.77278, 11.24895",2024-12-15
863369,38,2012-12-30,Superhost,2,Campo di Marte,3,2,Entire home,6,137,261,4.83,4.87,4.79,4.87,4.91,4.71,4.76,2.01,Firenze,Early Winter,1,private,"43.76989, 11.27657",2024-12-15
614736,18,2012-07-25,Host,1,Centro Storico,1,1,Entire home,2,128,116,4.71,4.87,4.48,4.89,4.88,4.96,4.71,0.84,Firenze,Early Winter,1,private,"43.76905, 11.25968",2024-12-15
614820,88,2012-05-18,Superhost,5,Centro Storico,2,1,Entire home,3,56,322,4.92,4.93,4.98,4.87,4.94,4.67,4.88,4.6,Firenze,Early Winter,1,private,"43.77924, 11.2399",2024-12-15
872780,16,2013-01-06,Superhost,14,Centro Storico,5,3,Entire home,5,175,82,4.91,4.96,4.95,4.99,4.99,4.96,4.89,0.63,Firenze,Summer,1,private,"43.77482, 11.25249",2024-12-15
878671,41,2013-01-09,Host,1,Centro Storico,2,1,Entire home,3,91,302,4.58,4.57,4.67,4.64,4.76,4.94,4.59,2.31,Firenze,Early Winter,1,private,"43.76838, 11.25425",2024-12-15
619625,0,2012-07-27,Host,12,Centro Storico,2,,Entire home,3,150,563,4.83,4.87,4.81,4.92,4.94,4.93,4.78,4.06,Firenze,Early Winter,1,private,"43.76956, 11.25967",2024-12-15
881322,30,2013-01-06,Superhost,14,Centro Storico,2,1,Entire home,4,160,114,4.94,4.97,4.98,5,4.99,5,4.9,0.89,Firenze,Early Winter,1,private,"43.77482, 11.25249",2024-12-15
881366,13,2013-01-06,Superhost,14,Centro Storico,3,2,Entire home,5,450,36,4.91,4.94,4.86,5,5,4.94,4.83,0.28,Firenze,Early Winter,4,private,"43.77316, 11.26546",2024-12-15
620555,33,2012-07-27,Superhost,1,Centro Storico,4,2,Entire home,5,131,309,4.93,4.93,4.96,4.99,4.99,4.78,4.88,2.27,Firenze,Early Winter,2,private,"43.76713, 11.23977",2024-12-15
621276,0,2012-07-27,Host,12,Centro Storico,3,2,Entire home,4,333,458,4.9,4.91,4.87,4.97,4.97,4.99,4.85,3.38,Firenze,Early Winter,1,private,"43.76933, 11.25114",2024-12-15
626595,32,2012-06-28,Host,3,Centro Storico,3,2,Entire home,5,110,223,4.21,4.34,4,4.62,4.5,4.85,4.32,1.61,Firenze,Early Winter,1,private,"43.77614, 11.25359",2024-12-15
883516,6,2013-01-12,Superhost,12,Centro Storico,2,1,Entire home,3,81,124,4.47,4.62,4.69,4.81,4.85,4.5,4.52,0.97,Firenze,Early Winter,1,private,"43.78324635240872, 11.243296469771444",2024-12-15
627198,0,2011-08-27,Host,7,Campo di Marte,1,1,Private room,3,100,4,5,5,5,5,4.75,5,4.75,0.03,Firenze,Early Winter,2,shared,"43.76841, 11.29708",2024-12-15
884196,0,2013-01-05,Host,4,Centro Storico,1,1,Private room,2,47,60,4.97,4.93,4.95,4.98,5,4.98,4.91,0.48,Firenze,Early Winter,1,shared,"43.76934, 11.26008",2024-12-15
886453,12,2013-01-14,Superhost,3,Centro Storico,7,3,Entire home,11,400,108,4.71,4.74,4.72,4.73,4.75,5,4.76,0.86,Firenze,Early Winter,2,private,"43.76944, 11.2552",2024-12-15
628637,22,2012-08-01,Host,2,Centro Storico,4,2,Entire home,3,75,74,4.86,4.73,4.73,4.92,4.89,4.96,4.74,0.55,Firenze,Early Winter,1,private,"43.7676, 11.25214",2024-12-15
645536,5,2012-08-12,Host,1,Centro Storico,1,1,Entire home,2,50,109,4.66,4.89,4.34,4.92,4.89,4.99,4.72,1.6,Firenze,Early Winter,1,private,"43.76674, 11.25346",2024-12-15
889153,1,2011-07-06,Host,5,Centro Storico,2,1,Entire home,2,112,302,4.88,4.93,4.96,4.95,4.97,4.92,4.86,2.34,Firenze,Early Winter,1,private,"43.76927, 11.26327",2024-12-15
650061,0,2012-08-15,Host,1,Rifredi,4,2,Entire home,4,95,29,4.55,4.62,4.72,4.86,4.93,4.34,4.55,0.23,Firenze,Early Winter,1,private,"43.79079, 11.24374",2024-12-15
890248,2,2012-09-03,Superhost,8,Centro Storico,1,1,Entire home,2,110,89,4.73,4.83,4.82,4.97,4.92,4.95,4.72,0.7,Firenze,Early Winter,1,private,"43.77175, 11.25006",2024-12-15
650750,32,2010-03-21,Host,3,Centro Storico,1,1,Private room,2,88,454,4.82,4.93,4.91,4.94,4.96,4.74,4.84,3.46,Firenze,Spring,1,shared,"43.77941, 11.25728",2024-12-15
659622,9,2012-06-01,Host,1,Centro Storico,1,1,Entire home,2,62,97,4.54,4.71,4.38,4.84,4.84,4.81,4.55,0.73,Firenze,Early Winter,1,private,"43.77926, 11.25767",2024-12-15
661521,47,2012-01-20,Superhost,7,Centro Storico,3,2,Entire home,4,241,448,4.91,4.92,4.97,4.95,4.95,4.99,4.9,3.27,Firenze,Early Winter,2,private,"43.770243184337794, 11.25558623176342",2024-12-15
891941,25,2012-12-02,Superhost,2,Campo di Marte,1,1,Private room,2,44,98,4.79,4.85,4.76,4.93,4.94,4.66,4.75,0.76,Firenze,Early Winter,1,shared,"43.78904, 11.270809",2024-12-15
892983,0,2013-01-18,Host,2,Centro Storico,3,2,Entire home,4,80,39,4.74,4.85,4.95,4.87,4.67,4.64,4.77,0.3,Firenze,Early Winter,1,private,"43.76231, 11.24135",2024-12-15
894632,9,2013-01-19,Superhost,2,Centro Storico,2,1,Entire home,4,140,60,4.85,4.8,4.68,4.8,4.82,4.98,4.88,0.48,Firenze,Early Winter,1,private,"43.76953, 11.26031",2024-12-15
667020,5,2012-08-26,Host,1,Rifredi,2,1,Entire home,4,80,99,4.9,4.95,4.86,4.93,4.92,4.59,4.78,0.72,Firenze,Early Winter,1,private,"43.79349, 11.23959",2024-12-15
901332,12,2013-01-23,Superhost,2,Isolotto Legnaia,3,2,Entire home,5,141,173,4.88,4.93,4.98,4.99,4.98,4.76,4.89,1.33,Firenze,Early Winter,1,private,"43.77049, 11.2343",2024-12-15
667172,0,2011-11-05,Host,4,Centro Storico,4,2,Entire home,5,350,6,4.33,4.67,4.83,4.83,4.67,4.5,4.17,0.05,Firenze,Early Winter,1,private,"43.77959, 11.24432",2024-12-15
901910,17,2013-01-23,Host,2,Centro Storico,6,3,Entire home,6,184,167,4.78,4.86,4.75,4.88,4.9,4.92,4.83,1.61,Firenze,Early Winter,2,private,"43.76798, 11.25907",2024-12-15
667250,0,2011-11-05,Host,4,Centro Storico,2,1,Entire home,3,225,28,4.37,4.46,4.43,4.5,4.57,4.68,4.29,0.25,Firenze,Early Winter,1,private,"43.77961, 11.24435",2024-12-15
668871,0,2012-04-23,Host,11,Centro Storico,4,2,Entire home,4,150,21,4.81,4.9,4.75,4.95,4.95,4.85,4.95,0.17,Firenze,Early Winter,1,private,"43.76997, 11.26573",2024-12-15
672264,0,2012-08-29,Host,1,Centro Storico,3,2,Entire home,3,150,54,4.56,4.65,4.83,4.81,4.78,4.72,4.6,0.42,Firenze,Early Winter,1,private,"43.77398, 11.26274",2024-12-15
904616,1,2013-01-25,Host,3,Campo di Marte,1,1,Private room,4,131,3,5,5,5,4.67,5,4.67,4.67,0.03,Firenze,Early Winter,1,private,"43.78565, 11.27199",2024-12-15
673933,28,2011-04-06,Host,44,Centro Storico,1,1,Entire home,2,122,64,4.78,4.83,4.72,4.75,4.92,4.94,4.72,0.47,Firenze,Early Winter,1,private,"43.76918, 11.26233",2024-12-15
674971,4,2012-08-31,Host,7,Gavinana Galluzzo,6,3,Entire home,12,4900,45,4.69,4.58,4.71,4.73,4.73,4.56,4.6,0.34,Firenze,Early Winter,5,private,"43.75589, 11.27877",2024-12-15
904695,20,2013-01-25,Host,5,Centro Storico,1,1,Entire home,2,70,213,4.77,4.93,4.86,4.9,4.89,4.92,4.79,1.63,Firenze,Early Winter,0,private,"43.77334, 11.2638",2024-12-15
676837,5,2011-10-09,Superhost,5,Centro Storico,2,1,Entire home,4,152,17,4.53,4.76,4.06,4.82,5,4.94,4.59,0.13,Firenze,Early Winter,1,private,"43.77109, 11.25798",2024-12-15
677061,2,2012-02-26,Superhost,10,Campo di Marte,1,1,Private room,1,66,6,4.83,4.83,4.67,5,5,4.83,4.67,0.06,Firenze,Early Winter,1,private,"43.77983, 11.27823",2024-12-15
677883,19,2017-07-14,Host,3,Campo di Marte,2,1,Entire home,3,80,154,4.86,4.88,4.83,4.9,4.94,4.77,4.84,1.13,Firenze,Early Winter,1,private,"43.79263, 11.29147",2024-12-15
691794,0,2012-09-11,Host,1,Centro Storico,1,1,Entire home,2,93,298,4.86,4.94,4.96,4.98,4.97,4.91,4.85,2.19,Firenze,Early Winter,1,private,"43.76562, 11.24831",2024-12-15
909519,0,2013-01-28,Host,3,Campo di Marte,2,1,Entire home,4,50,352,4.9,4.92,4.94,4.94,4.95,4.68,4.86,2.68,Firenze,Early Winter,1,private,"43.78949, 11.27071",2024-12-15
909920,3,2013-01-28,Host,6,Centro Storico,1,1,Entire home,3,220,57,4.72,4.77,4.75,4.85,4.7,4.93,4.65,0.43,Firenze,Early Winter,1,private,"43.77407, 11.25794",2024-12-15
702138,1,2012-09-03,Host,4,Campo di Marte,4,2,Entire home,6,140,144,4.68,4.82,4.81,4.83,4.9,4.53,4.72,1.09,Firenze,Early Winter,1,private,"43.77502, 11.28661",2024-12-15
706131,75,2012-04-27,Host,1,Isolotto Legnaia,4,2,Entire home,5,73,425,4.74,4.74,4.65,4.92,4.95,4.74,4.75,3.11,Firenze,Early Winter,2,private,"43.77048, 11.21016",2024-12-15
710931,0,2012-07-27,Host,12,Centro Storico,2,1,Entire home,2,150,366,4.76,4.85,4.84,4.91,4.91,4.91,4.76,2.69,Firenze,Spring,1,private,"43.7696, 11.25956",2024-12-15
711673,0,2012-06-20,Host,16,Centro Storico,1,1,Private room,3,235,258,4.6,4.72,4.72,4.86,4.9,4.77,4.65,1.9,Firenze,Early Winter,1,shared,"43.77604, 11.25313",2024-12-15
719739,0,2012-09-30,Host,1,Centro Storico,2,1,Entire home,2,80,40,4.65,4.73,4.78,4.98,4.88,4.95,4.78,0.31,Firenze,Early Winter,1,private,"43.76356, 11.26014",2024-12-15
910167,0,2013-01-28,Superhost,2,Centro Storico,1,,Entire home,2,95,193,4.69,4.88,4.91,4.73,4.8,4.68,4.64,1.48,Firenze,Early Winter,1,private,"43.77309, 11.26996",2024-12-15
912119,5,2013-01-29,Host,1,Gavinana Galluzzo,1,1,Private room,2,126,35,4.46,4.63,4.86,4.54,4.74,4.43,4.38,0.3,Firenze,Early Winter,1,private,"43.7631, 11.27331",2024-12-15
719790,16,2012-09-19,Superhost,3,Campo di Marte,2,1,Entire home,4,90,141,4.83,4.86,4.64,4.84,4.91,4.73,4.83,1.03,Firenze,Spring,1,private,"43.79593, 11.27576",2024-12-15
920684,16,2013-02-03,Superhost,1,Campo di Marte,2,1,Entire home,2,70,19,4.94,4.95,4.79,5,4.89,4.79,4.95,0.15,Firenze,Early Winter,1,private,"43.768188, 11.280609",2024-12-15
720068,35,2012-09-30,Host,1,Centro Storico,1,1,Entire home,2,132,212,4.64,4.65,4.69,4.75,4.75,4.98,4.57,1.62,Firenze,Early Winter,1,private,"43.77088, 11.26102",2024-12-15
930692,5,2013-02-08,Superhost,4,Centro Storico,4,2,Entire home,4,171,73,4.62,4.74,4.59,4.82,4.84,4.78,4.64,0.58,Firenze,Early Winter,2,private,"43.77353, 11.26398",2024-12-15
720090,22,2012-09-19,Superhost,3,Campo di Marte,2,1,Entire home,4,90,130,4.71,4.78,4.64,4.8,4.78,4.79,4.81,0.97,Firenze,Summer,1,private,"43.79036, 11.27279",2024-12-15
728295,1,2010-06-07,Host,6,Centro Storico,1,1,Hotel room,2,73,22,4.75,4.91,4.91,4.95,4.86,4.7,4.57,0.17,Firenze,Early Winter,1,private,"43.76292, 11.2434",2024-12-15
728368,9,2012-10-06,Host,6,Centro Storico,5,3,Entire home,6,272,119,4.69,4.82,4.83,4.82,4.85,4.9,4.67,0.91,Firenze,Early Winter,1,private,"43.77581, 11.25353",2024-12-15
930864,5,2013-02-08,Superhost,2,Centro Storico,3,2,Entire home,3,150,15,5,4.87,4.93,5,5,4.93,4.87,0.12,Firenze,Early Winter,2,private,"43.7724, 11.25123",2024-12-15
728490,0,2012-10-06,Host,6,Centro Storico,2,1,Entire home,4,165,89,4.78,4.85,4.87,4.81,4.94,4.97,4.69,0.69,Firenze,Early Winter,1,private,"43.77505, 11.25313",2024-12-15
931211,46,2013-02-08,Host,1,Centro Storico,1,1,Entire home,2,84,234,4.61,4.78,4.5,4.86,4.84,4.92,4.62,1.8,Firenze,Summer,2,private,"43.77295, 11.25992",2024-12-15
932192,18,2013-01-12,Superhost,1,Centro Storico,1,1,Entire home,2,268,100,4.91,4.94,4.89,4.96,4.93,4.97,4.85,0.79,Firenze,Early Winter,1,private,"43.77146788002116, 11.25956705250394",2024-12-15
728975,0,2012-10-07,Host,2,Campo di Marte,3,2,Entire home,4,46,127,4.78,4.92,4.91,4.87,4.91,4.52,4.83,0.97,Firenze,Early Winter,1,private,"43.76608, 11.28247",2024-12-15
735370,30,2012-10-11,Superhost,2,Centro Storico,8,3,Entire home,10,264,303,4.72,4.77,4.7,4.82,4.87,4.89,4.72,2.3,Firenze,Early Winter,3,private,"43.77669, 11.26189",2024-12-15
932606,0,2013-02-08,Host,1,Campo di Marte,2,1,Entire home,2,200,1,5,5,5,5,5,5,5,0.01,Firenze,Early Winter,1,private,"43.77525, 11.29704",2024-12-15
742048,99,2012-06-19,Superhost,3,Centro Storico,3,2,Private room,3,75,317,4.8,4.83,4.88,4.89,4.94,4.83,4.77,2.34,Firenze,Early Winter,2,private,"43.77422, 11.25057",2024-12-15
744515,0,2012-10-17,Host,1,Centro Storico,2,1,Entire home,4,130,322,4.75,4.84,4.52,4.89,4.9,4.9,4.8,2.38,Firenze,Autumn,2,private,"43.76776, 11.24238",2024-12-15
748041,40,2012-10-05,Superhost,4,Centro Storico,1,1,Entire home,2,80,78,4.65,4.6,4.65,4.76,4.67,4.95,4.64,2.71,Firenze,Early Winter,1,private,"43.76961, 11.25655",2024-12-15
933604,15,2012-11-17,Host,8,Centro Storico,1,1,Entire home,2,83,85,4.52,4.72,4.61,4.85,4.88,4.8,4.56,0.66,Firenze,Early Winter,1,private,"43.77883, 11.25517",2024-12-15
749149,17,2012-10-21,Host,1,Centro Storico,2,1,Entire home,3,75,176,4.86,4.93,4.95,4.97,4.94,4.66,4.76,1.3,Firenze,Early Winter,1,private,"43.77826, 11.23936",2024-12-15
751241,55,2012-10-23,Host,3,Campo di Marte,2,1,Private room,3,38,400,4.6,4.79,4.73,4.63,4.64,4.44,4.63,2.95,Firenze,Early Winter,1,private,"43.78793, 11.27063",2024-12-15
933695,23,2012-11-17,Host,8,Centro Storico,1,1,Entire home,2,83,188,4.54,4.72,4.63,4.81,4.87,4.85,4.55,1.45,Firenze,Early Winter,1,private,"43.77883, 11.25517",2024-12-15
753719,14,2012-10-24,Superhost,2,Centro Storico,3,2,Entire home,4,194,40,4.78,4.83,4.73,4.93,4.98,4.98,4.7,0.35,Firenze,Early Winter,1,private,"43.77763, 11.25865",2024-12-15
754931,0,2012-06-20,Host,16,Centro Storico,1,1,Private room,4,325,177,4.62,4.74,4.61,4.84,4.88,4.79,4.64,1.34,Firenze,Early Winter,1,shared,"43.77551, 11.25177",2024-12-15
755095,17,2011-11-16,Superhost,2,Centro Storico,2,1,Entire home,2,160,137,4.9,4.95,4.93,4.95,4.96,4.93,4.85,1.07,Firenze,Early Winter,1,private,"43.77329, 11.26305",2024-12-15
766781,24,2012-11-02,Superhost,2,Gavinana Galluzzo,2,1,Entire home,4,101,154,4.82,4.86,4.76,4.94,4.93,4.56,4.74,1.21,Firenze,Early Winter,1,private,"43.76133, 11.28401",2024-12-15
935489,54,2013-02-11,Host,4,Centro Storico,3,2,Entire home,5,137,325,4.55,4.7,4.59,4.81,4.84,4.79,4.56,2.54,Firenze,Early Winter,1,private,"43.77596, 11.26542",2024-12-15
769115,68,2012-11-07,Superhost,4,Centro Storico,3,2,Entire home,4,117,537,4.84,4.88,4.81,4.97,4.96,4.95,4.88,4,Firenze,Early Winter,1,private,"43.7731, 11.25701",2024-12-15
935632,0,2013-02-11,Host,3,Centro Storico,1,1,Entire home,3,259,19,4.79,4.89,4.84,4.67,4.74,4.83,4.67,0.15,Firenze,Early Winter,2,private,"43.76788, 11.2664",2024-12-15
771929,12,2012-05-15,Host,34,Centro Storico,3,2,Entire home,4,187,58,4.84,4.91,4.84,4.88,4.93,4.95,4.79,0.47,Firenze,Early Winter,1,private,"43.77037, 11.26103",2024-12-15
773437,0,2012-11-07,Host,2,Rifredi,5,3,Entire home,7,90,320,4.72,4.86,4.76,4.9,4.89,4.6,4.73,2.51,Firenze,Early Winter,1,private,"43.7877, 11.25538",2024-12-15
783317,11,2011-01-18,Superhost,10,Centro Storico,1,1,Entire home,2,84,305,4.84,4.88,4.87,4.94,4.93,4.97,4.85,2.4,Firenze,Early Winter,1,private,"43.77317, 11.25898",2024-12-15
936084,5,2013-02-11,Host,3,Campo di Marte,2,1,Entire home,4,120,35,4.86,4.7,4.76,4.94,4.94,4.82,4.82,0.27,Firenze,Early Winter,1,private,"43.78016, 11.31011",2024-12-15
784776,3,2012-11-13,Host,1,Centro Storico,1,1,Private room,2,85,287,4.83,4.89,4.93,4.9,4.92,4.67,4.83,2.22,Firenze,Autumn,1,private,"43.78017, 11.24449",2024-12-15
936624,8,2013-02-12,Superhost,2,Centro Storico,2,1,Entire home,3,80,59,4.75,4.84,4.77,4.96,4.93,4.95,4.74,0.45,Firenze,Early Winter,1,private,"43.76719, 11.24216",2024-12-15
938911,12,2012-07-23,Superhost,19,Centro Storico,8,3,Entire home,8,159,234,4.79,4.79,4.8,4.93,4.94,4.91,4.82,1.78,Firenze,Early Winter,2,private,"43.77306, 11.24678",2024-12-15
786911,4,2012-11-14,Host,10,Centro Storico,1,1,Private room,2,79,34,4.21,3.85,4.21,4.61,4.79,4.7,4.03,0.27,Firenze,Early Winter,1,private,"43.77779, 11.25159",2024-12-15
940779,24,2013-02-14,Superhost,2,Centro Storico,3,,Entire home,5,179,39,4.97,5,4.97,4.95,4.97,4.95,4.87,0.3,Firenze,Early Winter,1,private,"43.76841735839844, 11.258137702941896",2024-12-15
946536,22,2011-04-06,Host,44,Centro Storico,2,1,Entire home,3,173,152,4.75,4.87,4.81,4.84,4.89,4.89,4.78,1.19,Firenze,Early Winter,2,private,"43.77036, 11.25608",2024-12-15
